Living things;जीवजाल
			Eight auspicious items;अष्टमंगल्य
			Gifts given to the groom;वरदक्षिणा
		Upanayanam or sacred thread ceremony;मूंजि अथवा उपनयन
			words related to upanayanam;उपनयन संबंधित उतरां
			Verbs related to upanayanam;उपनयन संबंधित क्रियापदां
		Other ritual related verbs;इतर संस्कार संबंधित क्रियापदां
		Other minor rites;इतर लघु संस्कार
		Death ceremony;अंत्येष्टी
		Other rituals and poojas;इतर पूजा आनी विधी
			Rangoli at tulasi;तुळसीकडे बरवप
			Decorative or sacred mark;आलंकारिक आनी धार्मिक मुद्रा
		Festivals;उत्सवाघोष
			Festivals celebrated at home;घरकडेच्यो परबो
			Festivals celebrated at temples;देवळांकडेचे आघोष
			Rituals and poojas related to Navaratri;
			Other celebrations;इतर आघोष
			Community festivals;सामाजिक आघोष
			Special food items made at homes on festival days;परबेचीं खाणां
			Verbs related to customs and rituals;संस्कार संबंधित क्रियापद
			Lengthy periods of worship;पूजा काळ
		Temple;देव-देवळ
			Words related to temple;देवळ संबंदी उतरां
			Verbs related to temple;देवळ संबंदी क्रियापद
			Parts of a temple;देवळाचे भाग
			Items used in temple;देवळांतुले उपयोगाचें
			Nivedhyams in temple;देवळांतुले निवेदाचें
			Annual temple festival;आराट
		Relation;संबंद
			Gotras;गोत्र
			Relationship;सोयरीक दायरीक
			Other nouns for relation;संबंद संबंधित इतर संज्ञा
Time and space;वेळ, काळ आनी अंतराळ
	Astrology and astronomy;ज्योतिशास्त्र
		Nine planets of astrology;ज्योति शास्त्राचीं नवग्रहां
		Nine planets of solar system;सौर मंडलाचीं नवग्रहां
		Corresponding western zodiac for hindu astrological stars;ज्योतिष नक्षत्रां
		Other words related to astrology;ज्योतिशास्त्र संबंदी इतर उतरां
	Days of a week;वाराचे दीस, सप्ताहाचे दीस
	Fortnight;पक्ष
		Bright lunar fortnight or period of waxing moon;शुक्ल पक्ष
		Dark lunar fortnight or period of waning moon;कृष्ण पक्ष
	Months;मास
	Time and Period;वेळु काळु
	Seasons;रितु
	Time;वरां
	Time and Period;वेळु काळु
	Words related to time and day;वेळु आनी दीस संबंदी उतरां
Numbers and measurements;संख्या आनी मेजप
	Numbers;संख्या
		Cardinal numbers;अंक, संख्या
		Ordinal numbers, Numerical adjectives;क्रमसूचक संख्या
	Measurements;मेजप
		Length measured using body parts;देहाचे भागान दिगाय मेजप
		Width measured using hand;हाताचे भागान रुंदाय मेजप
		Weight of gold measured using objects;विविध सामान उपयोगु करून भांगराचो भारु मेजप
		Depth measured using body parts;देहाचे भागान उदकाची खोलाय मेजप
		Measure of quantity;मात्रा मेजप
		Quantity measured using hands;हात उपयोग करून मात्रा मेजप
		Measures of volume for grains or liquid;द्रवांची वा धान्यांची मेजणि
		Measures adapted from Malayalam for grains;मलयाळम भासेंतु साकून घेतल्ली धान्यांची पोरणि मेजणि
		Other words related to measurements;मेजपा संबंदी इतर शब्द
Other general vocabulary;इतर उतरावळि
	Agriculture;कृषि
		Nouns relating to agriculture;कृषि संबंधित संज्ञा
		Verbs related to agriculture;कृषि संबंधित क्रियापद			
	Capital and accounts;मोदेल आनी लेक			
	Colours;वर्ण
		Main colours;मुख्य वर्ण
		Other colours;इतर वर्ण
	Directions;दिक्कु			
	Edges and points;देगो आनी मोनकीं			
	Fireworks, pyrotechnics;दारुवे दंद		
	Flower strings;फूलां गांथिल्लीं			
	Habitat;वास आनी स्थाय			
	Kings and kingdoms;राय आनी राज्य			
	Languages;भासो			
	Medicine;ओकद, वोकद		
	Minerals;धातु			
	Musical instruments;संगीत वाद्य			
	Nature;प्रकृति			
	Paths and lanes;हाद्यो
	Vehicles and parts;वाहन आनी भाग			
	Words related to games;खेळा संबंधित उतरां			
	Extra vocabulary;वर्चिल उतरावळि
